City,Amsterdam,Zagreb,Paris,Athens,Rome,Lisbon,Madrid,London,Munich,Nuremberg
Amsterdam,0.0,170.19,74.92,317.54,182.18,273.84,222.84,51.94,93.7,81.87
Zagreb,170.19,0.0,170.04,147.46,79.37,327.92,250.28,213.66,77.02,88.63
Paris,74.92,170.04,0.0,307.7,147.41,202.56,147.93,70.89,101.57,101.98
Athens,317.54,147.46,307.7,0.0,168.98,420.76,341.46,359.34,223.99,236.11
Rome,182.18,79.37,147.41,168.98,0.0,260.95,181.25,210.46,101.25,118.12
Lisbon,273.84,327.92,202.56,420.76,260.95,0.0,79.91,243.4,286.8,294.21
Madrid,222.84,250.28,147.93,341.46,181.25,79.91,0.0,205.48,216.47,226.19
London,51.94,213.66,70.89,359.34,210.46,243.4,205.48,0.0,136.88,128.3
Munich,93.7,77.02,101.57,223.99,101.25,286.8,216.47,136.88,0.0,16.87
Nuremberg,81.87,88.63,101.98,236.11,118.12,294.21,226.19,128.3,16.87,0.0
