City,Amsterdam,Zagreb,Paris,Athens,Rome,Lisbon,Madrid,London,Munich,Nuremberg
Amsterdam,0.0,22.66,9.98,42.29,24.26,36.47,29.68,6.92,12.48,10.9
Zagreb,22.66,0.0,22.64,19.64,10.57,43.67,33.33,28.45,10.26,11.8
Paris,9.98,22.64,0.0,40.98,19.63,26.98,19.7,9.44,13.53,13.58
Athens,42.29,19.64,40.98,0.0,22.5,56.03,45.47,47.85,29.83,31.44
Rome,24.26,10.57,19.63,22.5,0.0,34.75,24.14,28.03,13.48,15.73
Lisbon,36.47,43.67,26.98,56.03,34.75,0.0,10.64,32.41,38.19,39.18
Madrid,29.68,33.33,19.7,45.47,24.14,10.64,0.0,27.36,28.83,30.12
London,6.92,28.45,9.44,47.85,28.03,32.41,27.36,0.0,18.23,17.09
Munich,12.48,10.26,13.53,29.83,13.48,38.19,28.83,18.23,0.0,2.25
Nuremberg,10.9,11.8,13.58,31.44,15.73,39.18,30.12,17.09,2.25,0.0
