City,Amsterdam,Zagreb,Paris,Athens,Rome,Lisbon,Madrid,London,Munich,Nuremberg
Amsterdam,0.0,2.48,1.09,4.63,2.66,4.0,3.25,0.76,1.37,1.19
Zagreb,2.48,0.0,2.48,2.15,1.16,4.79,3.65,3.12,1.12,1.29
Paris,1.09,2.48,0.0,4.49,2.15,2.96,2.16,1.03,1.48,1.49
Athens,4.63,2.15,4.49,0.0,2.47,6.14,4.98,5.24,3.27,3.45
Rome,2.66,1.16,2.15,2.47,0.0,3.81,2.65,3.07,1.48,1.72
Lisbon,4.0,4.79,2.96,6.14,3.81,0.0,1.17,3.55,4.19,4.29
Madrid,3.25,3.65,2.16,4.98,2.65,1.17,0.0,3.0,3.16,3.3
London,0.76,3.12,1.03,5.24,3.07,3.55,3.0,0.0,2.0,1.87
Munich,1.37,1.12,1.48,3.27,1.48,4.19,3.16,2.0,0.0,0.25
Nuremberg,1.19,1.29,1.49,3.45,1.72,4.29,3.3,1.87,0.25,0.0
