City,Amsterdam,Zagreb,Paris,Athens,Rome,Lisbon,Madrid,London,Munich,Nuremberg
Amsterdam,0.0,189.45,83.39,353.47,202.79,304.83,248.05,57.81,104.31,91.14
Zagreb,189.45,0.0,189.28,164.14,88.35,365.02,278.59,237.84,85.73,98.66
Paris,83.39,189.28,0.0,342.51,164.09,225.48,164.67,78.91,113.06,113.51
Athens,353.47,164.14,342.51,0.0,188.09,468.37,380.09,399.99,249.33,262.83
Rome,202.79,88.35,164.09,188.09,0.0,290.47,201.75,234.28,112.7,131.49
Lisbon,304.83,365.02,225.48,468.37,290.47,0.0,88.95,270.94,319.25,327.49
Madrid,248.05,278.59,164.67,380.09,201.75,88.95,0.0,228.73,240.96,251.78
London,57.81,237.84,78.91,399.99,234.28,270.94,228.73,0.0,152.37,142.82
Munich,104.31,85.73,113.06,249.33,112.7,319.25,240.96,152.37,0.0,18.78
Nuremberg,91.14,98.66,113.51,262.83,131.49,327.49,251.78,142.82,18.78,0.0
