City,Amsterdam,Zagreb,Paris,Athens,Rome,Lisbon,Madrid,London,Munich,Nuremberg
Amsterdam,0.0,14.28,6.29,26.65,15.29,22.98,18.7,4.36,7.86,6.87
Zagreb,14.28,0.0,14.27,12.37,6.66,27.52,21.0,17.93,6.46,7.44
Paris,6.29,14.27,0.0,25.82,12.37,17.0,12.41,5.95,8.52,8.56
Athens,26.65,12.37,25.82,0.0,14.18,35.31,28.65,30.15,18.8,19.81
Rome,15.29,6.66,12.37,14.18,0.0,21.9,15.21,17.66,8.5,9.91
Lisbon,22.98,27.52,17.0,35.31,21.9,0.0,6.71,20.43,24.07,24.69
Madrid,18.7,21.0,12.41,28.65,15.21,6.71,0.0,17.24,18.17,18.98
London,4.36,17.93,5.95,30.15,17.66,20.43,17.24,0.0,11.49,10.77
Munich,7.86,6.46,8.52,18.8,8.5,24.07,18.17,11.49,0.0,1.42
Nuremberg,6.87,7.44,8.56,19.81,9.91,24.69,18.98,10.77,1.42,0.0
