City,Amsterdam,Salzburg,Sofia,Zagreb,Prague,Copenhagen,Helsinki,Paris,Lyon,Athens,Budapest,Dublin,Milan,Rome,Venice,Luxembourg,Rotterdam,Oslo,Lisbon,Bucharest,Belgrade,Bratislava,Madrid,Seville,Zurich,Sarajevo,Istanbul,London,Munich,Nuremberg
Amsterdam,0.0,121.55,265.92,170.19,101.28,86.54,230.56,74.92,101.25,317.54,174.69,114.14,126.26,182.18,141.56,51.75,19.88,146.25,273.84,271.43,215.88,146.38,222.84,279.67,90.6,211.55,332.48,51.94,93.7,81.87
Salzburg,121.55,0.0,146.81,48.73,51.84,135.41,249.39,126.43,94.4,196.0,69.04,228.68,57.76,87.73,35.73,85.9,120.22,220.27,301.81,161.65,96.99,48.62,228.07,280.76,57.53,90.05,218.46,165.23,28.36,40.61
Sofia,265.92,146.81,0.0,99.4,171.08,250.82,304.46,269.18,228.11,67.5,97.13,375.44,178.43,150.36,143.7,232.43,266.64,328.2,411.31,50.08,50.08,123.92,331.56,372.43,198.81,64.44,77.67,311.84,175.05,184.28
Zagreb,170.19,48.73,99.4,0.0,87.39,174.16,268.9,170.04,131.09,147.46,48.73,276.86,83.5,79.37,47.72,133.26,168.81,258.1,327.92,121.46,51.01,51.94,250.28,298.37,99.61,41.57,173.8,213.66,77.02,88.63
Prague,101.28,51.84,171.08,87.39,0.0,86.83,198.96,136.89,121.87,229.7,75.42,215.34,101.77,139.47,87.39,89.24,108.57,171.18,331.16,170.88,122.47,47.34,262.78,317.99,84.0,126.89,232.78,152.2,47.34,36.95
Copenhagen,86.54,135.41,250.82,174.16,86.83,0.0,144.63,157.77,169.25,313.17,153.94,181.17,171.82,219.65,168.75,118.8,105.51,84.86,359.53,239.92,204.98,129.2,304.07,361.16,141.44,212.92,302.73,130.44,118.59,101.78
Helsinki,230.56,249.39,304.46,268.9,198.96,144.63,0.0,302.2,309.05,371.87,227.26,308.38,300.06,336.57,285.02,261.11,249.88,117.92,504.07,270.19,274.76,217.12,447.35,504.35,276.21,295.75,323.34,269.42,244.45,229.82
Paris,74.92,126.43,269.18,170.04,136.89,157.77,302.2,0.0,48.27,307.7,194.14,120.19,95.76,147.41,126.59,47.8,55.16,220.84,202.56,288.04,220.93,169.11,147.93,204.83,70.43,206.69,343.58,70.89,101.57,101.98
Lyon,101.25,94.4,228.11,131.09,121.87,169.25,309.05,48.27,0.0,262.12,163.28,168.43,50.22,99.25,84.47,51.89,85.14,243.74,209.98,252.07,181.85,142.01,141.29,197.26,38.72,164.23,304.33,115.33,76.83,84.99
Athens,317.54,196.0,67.5,147.46,229.7,313.17,371.87,307.7,262.12,0.0,159.76,421.51,212.28,168.98,182.14,277.69,315.13,392.87,420.76,108.2,108.2,184.14,341.46,373.82,239.9,105.95,93.06,359.34,223.99,236.11
Budapest,174.69,69.04,97.13,48.73,75.42,153.94,227.26,194.14,163.28,159.76,0.0,287.66,121.89,127.91,88.69,150.42,178.85,233.21,368.54,96.99,51.99,28.36,292.77,343.04,126.49,68.54,157.85,223.85,92.71,96.37
Dublin,114.14,228.68,375.44,276.86,215.34,181.17,308.38,120.19,168.43,421.51,287.66,0.0,213.28,267.1,239.64,143.96,109.12,196.6,238.8,384.64,325.47,259.56,222.07,270.26,182.03,316.87,444.86,63.88,200.39,192.17
Milan,126.26,57.76,178.43,83.5,101.77,171.82,300.06,95.76,50.22,212.28,121.89,213.28,0.0,56.23,35.8,75.8,115.86,253.93,246.69,204.93,133.36,105.75,171.24,223.11,35.73,114.27,255.15,154.95,55.7,71.31
