City,Amsterdam,Salzburg,Sofia,Zagreb,Prague,Copenhagen,Helsinki,Paris,Lyon,Athens,Budapest,Dublin,Milan,Rome,Venice,Luxembourg,Rotterdam,Oslo,Lisbon,Bucharest,Belgrade,Bratislava,Madrid,Seville,Zurich,Sarajevo,Istanbul,London,Munich,Nuremberg
Amsterdam,0.0,16.19,35.41,22.66,13.49,11.52,30.7,9.98,13.48,42.29,23.26,15.2,16.81,24.26,18.85,6.89,2.65,19.48,36.47,36.15,28.75,19.49,29.68,37.24,12.07,28.17,44.28,6.92,12.48,10.9
Salzburg,16.19,0.0,19.55,6.49,6.9,18.03,33.21,16.84,12.57,26.1,9.19,30.45,7.69,11.68,4.76,11.44,16.01,29.33,40.19,21.53,12.92,6.47,30.37,37.39,7.66,11.99,29.09,22.0,3.78,5.41
Sofia,35.41,19.55,0.0,13.24,22.78,33.4,40.55,35.85,30.38,8.99,12.93,50.0,23.76,20.02,19.14,30.95,35.51,43.71,54.78,6.67,6.67,16.5,44.15,49.6,26.48,8.58,10.34,41.53,23.31,24.54
Zagreb,22.66,6.49,13.24,0.0,11.64,23.19,35.81,22.64,17.46,19.64,6.49,36.87,11.12,10.57,6.36,17.75,22.48,34.37,43.67,16.17,6.79,6.92,33.33,39.74,13.27,5.54,23.15,28.45,10.26,11.8
Prague,13.49,6.9,22.78,11.64,0.0,11.56,26.5,18.23,16.23,30.59,10.04,28.68,13.55,18.57,11.64,11.88,14.46,22.8,44.1,22.76,16.31,6.3,35.0,42.35,11.19,16.9,31.0,20.27,6.3,4.92
Copenhagen,11.52,18.03,33.4,23.19,11.56,0.0,19.26,21.01,22.54,41.71,20.5,24.13,22.88,29.25,22.47,15.82,14.05,11.3,47.88,31.95,27.3,17.21,40.49,48.1,18.84,28.36,40.32,17.37,15.79,13.55
Helsinki,30.7,33.21,40.55,35.81,26.5,19.26,0.0,40.24,41.16,49.52,30.27,41.07,39.96,44.82,37.96,34.77,33.28,15.7,67.13,35.98,36.59,28.91,59.58,67.17,36.78,39.39,43.06,35.88,32.55,30.61
Paris,9.98,16.84,35.85,22.64,18.23,21.01,40.24,0.0,6.43,40.98,25.85,16.01,12.75,19.63,16.86,6.37,7.35,29.41,26.98,38.36,29.42,22.52,19.7,27.28,9.38,27.53,45.76,9.44,13.53,13.58
Lyon,13.48,12.57,30.38,17.46,16.23,22.54,41.16,6.43,0.0,34.91,21.74,22.43,6.69,13.22,11.25,6.91,11.34,32.46,27.96,33.57,24.22,18.91,18.82,26.27,5.16,21.87,40.53,15.36,10.23,11.32
Athens,42.29,26.1,8.99,19.64,30.59,41.71,49.52,40.98,34.91,0.0,21.28,56.13,28.27,22.5,24.26,36.98,41.97,52.32,56.03,14.41,14.41,24.52,45.47,49.78,31.95,14.11,12.39,47.85,29.83,31.44
Budapest,23.26,9.19,12.93,6.49,10.04,20.5,30.27,25.85,21.74,21.28,0.0,38.31,16.23,17.03,11.81,20.03,23.82,31.06,49.08,12.92,6.92,3.78,38.99,45.68,16.85,9.13,21.02,29.81,12.35,12.83
Dublin,15.2,30.45,50.0,36.87,28.68,24.13,41.07,16.01,22.43,56.13,38.31,0.0,28.4,35.57,31.91,19.17,14.53,26.18,31.8,51.22,43.34,34.57,29.57,35.99,24.24,42.2,59.24,8.51,26.69,25.59
Milan,16.81,7.69,23.76,11.12,13.55,22.88,39.96,12.75,6.69,28.27,16.23,28.4,0.0,7.49,4.77,10.09,15.43,33.82,32.85,27.29,17.76,14.08,22.8,29.71,4.76,15.22,33.98,20.63,7.42,9.5
Rome,24.26,11.68,20.02,10.57,18.57,29.25,44.82,19.63,13.22,22.5,17.03,35.57,7.49,0.0,6.94,17.58,22.92,40.45,34.75,25.02,15.45,16.5,24.14,29.88,12.22,11.81,30.32,28.03,13.48,15.73
Venice,18.85,4.76,19.14,6.36,11.64,22.47,37.96,16.86,11.25,24.26,11.81,31.91,4.77,6.94,0.0,12.85,18.05,33.74,37.44,22.52,13.01,10.26,27.22,33.87,7.69,10.69,29.29,23.75,6.92,9.12
