City,Amsterdam,Salzburg,Sofia,Zagreb,Prague,Copenhagen,Helsinki,Paris,Lyon,Athens,Budapest,Dublin,Milan,Rome,Venice,Luxembourg,Rotterdam,Oslo,Lisbon,Bucharest,Belgrade,Bratislava,Madrid,Seville,Zurich,Sarajevo,Istanbul,London,Munich,Nuremberg
Amsterdam,0.0,152.6,333.86,213.67,127.15,108.64,289.46,94.06,127.12,398.67,219.32,143.3,158.52,228.72,177.72,64.97,24.96,183.61,343.8,340.77,271.03,183.77,279.77,351.12,113.75,265.6,417.42,65.2,117.64,102.79
Salzburg,152.6,0.0,184.31,61.19,65.09,170.01,313.1,158.72,118.52,246.07,86.67,287.1,72.52,110.15,44.85,107.85,150.93,276.54,378.91,202.95,121.77,61.04,286.34,352.48,72.23,113.05,274.27,207.44,35.61,50.98
Sofia,333.86,184.31,0.0,124.8,214.78,314.9,382.24,337.95,286.39,84.74,121.94,471.35,224.01,188.78,180.42,291.82,334.76,412.05,516.38,62.88,62.88,155.58,416.26,467.58,249.6,80.91,97.51,391.51,219.77,231.36
Zagreb,213.67,61.19,124.8,0.0,109.72,218.66,337.6,213.48,164.58,185.13,61.19,347.59,104.83,99.65,59.92,167.31,211.93,324.04,411.69,152.49,64.04,65.21,314.22,374.6,125.06,52.19,218.21,268.25,96.69,111.27
Prague,127.15,65.09,214.78,109.72,0.0,109.01,249.79,171.86,153.0,288.39,94.69,270.35,127.77,175.11,109.72,112.04,136.31,214.92,415.76,214.54,153.75,59.44,329.92,399.23,105.46,159.3,292.24,191.08,59.44,46.39
Copenhagen,108.64,170.01,314.9,218.66,109.01,0.0,181.58,198.08,212.48,393.18,193.26,227.45,215.71,275.77,211.86,149.15,132.47,106.54,451.38,301.21,257.34,162.2,381.75,453.43,177.57,267.32,380.07,163.77,148.88,127.78
Helsinki,289.46,313.1,382.24,337.6,249.79,181.58,0.0,379.4,388.0,466.87,285.32,387.16,376.71,422.56,357.83,327.81,313.72,148.04,632.85,339.22,344.95,272.59,561.64,633.2,346.78,371.31,405.95,338.25,306.9,288.53
Paris,94.06,158.72,337.95,213.48,171.86,198.08,379.4,0.0,60.61,386.31,243.74,150.9,120.22,185.07,158.93,60.01,69.25,277.26,254.31,361.63,277.38,212.31,185.73,257.16,88.43,259.49,431.36,89.0,127.51,128.03
Lyon,127.12,118.52,286.39,164.58,153.0,212.48,388.0,60.61,0.0,329.08,204.99,211.46,63.05,124.6,106.05,65.15,106.89,306.01,263.62,316.47,228.31,178.29,177.38,247.65,48.61,206.19,382.08,144.79,96.46,106.7
Athens,398.67,246.07,84.74,185.13,288.39,393.18,466.87,386.31,329.08,0.0,200.58,529.2,266.51,212.14,228.67,348.64,395.64,493.24,528.26,135.84,135.84,231.18,428.69,469.33,301.18,133.02,116.83,451.14,281.21,296.43
Budapest,219.32,86.67,121.94,61.19,94.69,193.26,285.32,243.74,204.99,200.58,0.0,361.15,153.03,160.58,111.34,188.84,224.54,292.79,462.7,121.77,65.27,35.61,367.57,430.67,158.81,86.06,198.18,281.03,116.39,120.99
Dublin,143.3,287.1,471.35,347.59,270.35,227.45,387.16,150.9,211.46,529.2,361.15,0.0,267.77,335.33,300.87,180.73,136.99,246.83,299.8,482.9,408.62,325.87,278.81,339.3,228.53,397.83,558.5,80.2,251.58,241.27
Milan,158.52,72.52,224.01,104.83,127.77,215.71,376.71,120.22,63.05,266.51,153.03,267.77,0.0,70.59,44.94,95.17,145.46,318.8,309.72,257.28,167.43,132.76,214.98,280.11,44.85,143.47,320.34,194.53,69.92,89.53
Rome,228.72,110.15,188.78,99.65,175.11,275.77,422.56,185.07,124.6,212.14,160.58,335.33,70.59,0.0,65.39,165.76,216.05,381.35,327.61,235.9,145.66,155.58,227.55,281.64,115.2,111.34,285.87,264.23,127.12,148.3
Venice,177.72,44.85,180.42,59.92,109.72,211.86,357.83,158.93,106.05,228.67,111.34,300.87,44.94,65.39,0.0,121.16,170.16,318.04,352.96,212.34,122.68,96.69,256.62,319.35,72.52,100.75,276.09,223.93,65.21,85.96
Luxembourg,64.97,107.85,291.82,167.31,112.04,149.15,327.81,60.01,65.15,348.64,188.84,180.73,95.17,165.76,121.16,0.0,50.37,240.86,310.63,309.2,229.53,155.73,233.85,305.38,50.98,217.18,381.93,102.79,73.3,69.54
Rotterdam,24.96,150.93,334.76,211.93,136.31,132.47,313.72,69.25,106.89,395.64,224.54,136.99,145.46,216.05,170.16,50.37,0.0,208.09,319.26,346.29,271.95,189.52,254.9,326.21,101.32,263.13,421.53,56.84,115.32,104.26
Oslo,183.61,276.54,412.05,324.04,214.92,106.54,148.04,277.26,306.01,493.24,292.79,246.83,318.8,381.35,318.04,240.86,208.09,0.0,518.52,389.32,357.96,264.72,462.41,533.29,277.93,371.31,466.53,213.22,254.23,233.05
Lisbon,343.8,378.91,516.38,411.69,415.76,451.38,632.85,254.31,263.62,528.26,462.7,299.8,309.72,327.61,352.96,310.63,319.26,518.52,0.0,560.99,469.58,439.94,100.33,79.08,312.19,437.96,613.3,305.58,360.07,369.37
Bucharest,340.77,202.95,62.88,152.49,214.54,301.21,339.22,361.63,316.47,135.84,121.77,482.9,257.28,235.9,212.34,309.2,346.29,389.32,560.99,0.0,91.42,157.09,461.9,517.51,274.08,124.61,78.95,402.8,235.98,242.48
Belgrade,271.03,121.77,62.88,64.04,153.75,257.34,344.95,277.38,228.31,135.84,65.27,408.62,167.43,145.66,122.68,229.53,271.95,357.96,469.58,91.42,0.0,95.54,370.59,427.16,189.01,37.33,154.17,328.7,157.09,168.47
Bratislava,183.77,61.04,155.58,65.21,59.44,162.2,272.59,212.31,178.29,231.18,35.61,325.87,132.76,155.58,96.69,155.73,189.52,264.72,439.94,157.09,95.54,0.0,347.27,412.86,130.47,106.96,233.79,245.83,85.04,86.83
Madrid,279.77,286.34,416.26,314.22,329.92,381.75,561.64,185.73,177.38,428.69,367.57,278.81,214.98,227.55,256.62,233.85,254.9,462.41,100.33,461.9,370.59,347.27,0.0,71.68,224.45,338.29,513.06,257.98,271.77,283.98
Seville,351.12,352.48,467.58,374.6,399.23,453.43,633.2,257.16,247.65,469.33,430.67,339.3,280.11,281.64,319.35,305.38,326.21,533.29,79.08,517.51,427.16,412.86,71.68,0.0,293.82,392.83,562.56,326.45,340.45,353.69
Zurich,113.75,72.23,249.6,125.06,105.46,177.57,346.78,88.43,48.61,301.18,158.81,228.53,44.85,115.2,72.52,50.98,101.32,277.93,312.19,274.08,189.01,130.47,224.45,293.82,0.0,171.93,343.03,152.62,47.88,60.02
Sarajevo,265.6,113.05,80.91,52.19,159.3,267.32,371.31,259.49,206.19,133.02,86.06,397.83,143.47,111.34,100.75,217.18,263.13,371.31,437.96,124.61,37.33,106.96,338.29,392.83,171.93,0.0,178.15,319.08,148.29,163.47
Istanbul,417.42,274.27,97.51,218.21,292.24,380.07,405.95,431.36,382.08,116.83,198.18,558.5,320.34,285.87,276.09,381.93,421.53,466.53,613.3,78.95,154.17,233.79,513.06,562.56,343.03,178.15,0.0,478.3,308.74,317.28
London,65.2,207.44,391.51,268.25,191.08,163.77,338.25,89.0,144.79,451.14,281.03,80.2,194.53,264.23,223.93,102.79,56.84,213.22,305.58,402.8,328.7,245.83,257.98,326.45,152.62,319.08,478.3,0.0,171.85,161.08
Munich,117.64,35.61,219.77,96.69,59.44,148.88,306.9,127.51,96.46,281.21,116.39,251.58,69.92,127.12,65.21,73.3,115.32,254.23,360.07,235.98,157.09,85.04,271.77,340.45,47.88,148.29,308.74,171.85,0.0,21.19
Nuremberg,102.79,50.98,231.36,111.27,46.39,127.78,288.53,128.03,106.7,296.43,120.99,241.27,89.53,148.3,85.96,69.54,104.26,233.05,369.37,242.48,168.47,86.83,283.98,353.69,60.02,163.47,317.28,161.08,21.19,0.0
