City,Amsterdam,Salzburg,Sofia,Zagreb,Prague,Copenhagen,Helsinki,Paris,Lyon,Athens,Budapest,Dublin,Milan,Rome,Venice,Luxembourg,Rotterdam,Oslo,Lisbon,Bucharest,Belgrade,Bratislava,Madrid,Seville,Zurich,Sarajevo,Istanbul,London,Munich,Nuremberg
Amsterdam,0.0,1.77,3.88,2.48,1.48,1.26,3.36,1.09,1.48,4.63,2.55,1.67,1.84,2.66,2.07,0.76,0.29,2.13,4.0,3.96,3.15,2.14,3.25,4.08,1.32,3.09,4.85,0.76,1.37,1.19
Salzburg,1.77,0.0,2.14,0.71,0.76,1.98,3.64,1.85,1.38,2.86,1.01,3.34,0.84,1.28,0.52,1.25,1.75,3.21,4.4,2.36,1.42,0.71,3.33,4.1,0.84,1.31,3.19,2.41,0.41,0.59
Sofia,3.88,2.14,0.0,1.45,2.5,3.66,4.44,3.93,3.33,0.99,1.42,5.48,2.6,2.19,2.1,3.39,3.89,4.79,6.0,0.73,0.73,1.81,4.84,5.44,2.9,0.94,1.13,4.55,2.55,2.69
Zagreb,2.48,0.71,1.45,0.0,1.28,2.54,3.92,2.48,1.91,2.15,0.71,4.04,1.22,1.16,0.7,1.94,2.46,3.77,4.79,1.77,0.74,0.76,3.65,4.35,1.45,0.61,2.54,3.12,1.12,1.29
Prague,1.48,0.76,2.5,1.28,0.0,1.27,2.9,2.0,1.78,3.35,1.1,3.14,1.49,2.04,1.28,1.3,1.58,2.5,4.83,2.49,1.79,0.69,3.84,4.64,1.23,1.85,3.4,2.22,0.69,0.54
Copenhagen,1.26,1.98,3.66,2.54,1.27,0.0,2.11,2.3,2.47,4.57,2.25,2.64,2.51,3.21,2.46,1.73,1.54,1.24,5.25,3.5,2.99,1.89,4.44,5.27,2.06,3.11,4.42,1.9,1.73,1.49
Helsinki,3.36,3.64,4.44,3.92,2.9,2.11,0.0,4.41,4.51,5.43,3.32,4.5,4.38,4.91,4.16,3.81,3.65,1.72,7.36,3.94,4.01,3.17,6.53,7.36,4.03,4.32,4.72,3.93,3.57,3.35
Paris,1.09,1.85,3.93,2.48,2.0,2.3,4.41,0.0,0.7,4.49,2.83,1.75,1.4,2.15,1.85,0.7,0.81,3.22,2.96,4.2,3.22,2.47,2.16,2.99,1.03,3.02,5.01,1.03,1.48,1.49
Lyon,1.48,1.38,3.33,1.91,1.78,2.47,4.51,0.7,0.0,3.83,2.38,2.46,0.73,1.45,1.23,0.76,1.24,3.56,3.06,3.68,2.65,2.07,2.06,2.88,0.57,2.4,4.44,1.68,1.12,1.24
Athens,4.63,2.86,0.99,2.15,3.35,4.57,5.43,4.49,3.83,0.0,2.33,6.15,3.1,2.47,2.66,4.05,4.6,5.73,6.14,1.58,1.58,2.69,4.98,5.46,3.5,1.55,1.36,5.24,3.27,3.45
Budapest,2.55,1.01,1.42,0.71,1.1,2.25,3.32,2.83,2.38,2.33,0.0,4.2,1.78,1.87,1.29,2.2,2.61,3.4,5.38,1.42,0.76,0.41,4.27,5.01,1.85,1.0,2.3,3.27,1.35,1.41
Dublin,1.67,3.34,5.48,4.04,3.14,2.64,4.5,1.75,2.46,6.15,4.2,0.0,3.11,3.9,3.5,2.1,1.59,2.87,3.49,5.61,4.75,3.79,3.24,3.94,2.66,4.62,6.49,0.93,2.92,2.8
Milan,1.84,0.84,2.6,1.22,1.49,2.51,4.38,1.4,0.73,3.1,1.78,3.11,0.0,0.82,0.52,1.11,1.69,3.71,3.6,2.99,1.95,1.54,2.5,3.26,0.52,1.67,3.72,2.26,0.81,1.04
Rome,2.66,1.28,2.19,1.16,2.04,3.21,4.91,2.15,1.45,2.47,1.87,3.9,0.82,0.0,0.76,1.93,2.51,4.43,3.81,2.74,1.69,1.81,2.65,3.27,1.34,1.29,3.32,3.07,1.48,1.72
Venice,2.07,0.52,2.1,0.7,1.28,2.46,4.16,1.85,1.23,2.66,1.29,3.5,0.52,0.76,0.0,1.41,1.98,3.7,4.1,2.47,1.43,1.12,2.98,3.71,0.84,1.17,3.21,2.6,0.76,1.0
Luxembourg,0.76,1.25,3.39,1.94,1.3,1.73,3.81,0.7,0.76,4.05,2.2,2.1,1.11,1.93,1.41,0.0,0.59,2.8,3.61,3.59,2.67,1.81,2.72,3.55,0.59,2.52,4.44,1.19,0.85,0.81
Rotterdam,0.29,1.75,3.89,2.46,1.58,1.54,3.65,0.81,1.24,4.6,2.61,1.59,1.69,2.51,1.98,0.59,0.0,2.42,3.71,4.03,3.16,2.2,2.96,3.79,1.18,3.06,4.9,0.66,1.34,1.21
