City,Amsterdam,Salzburg,Sofia,Zagreb,Prague,Copenhagen,Helsinki,Paris,Lyon,Athens,Budapest,Dublin,Milan,Rome,Venice,Luxembourg,Rotterdam,Oslo,Lisbon,Bucharest,Belgrade,Bratislava,Madrid,Seville,Zurich,Sarajevo,Istanbul,London,Munich,Nuremberg
Amsterdam,0.0,10.2,22.32,14.28,8.5,7.26,19.35,6.29,8.5,26.65,14.66,9.58,10.6,15.29,11.88,4.34,1.67,12.27,22.98,22.78,18.12,12.28,18.7,23.47,7.6,17.75,27.9,4.36,7.86,6.87
Salzburg,10.2,0.0,12.32,4.09,4.35,11.36,20.93,10.61,7.92,16.45,5.79,19.19,4.85,7.36,3.0,7.21,10.09,18.48,25.33,13.57,8.14,4.08,19.14,23.56,4.83,7.56,18.33,13.87,2.38,3.41
Sofia,22.32,12.32,0.0,8.34,14.36,21.05,25.55,22.59,19.14,5.66,8.15,31.51,14.97,12.62,12.06,19.51,22.38,27.54,34.52,4.2,4.2,10.4,27.82,31.25,16.68,5.41,6.52,26.17,14.69,15.46
Zagreb,14.28,4.09,8.34,0.0,7.33,14.62,22.57,14.27,11.0,12.37,4.09,23.23,7.01,6.66,4.0,11.18,14.17,21.66,27.52,10.19,4.28,4.36,21.0,25.04,8.36,3.49,14.59,17.93,6.46,7.44
Prague,8.5,4.35,14.36,7.33,0.0,7.29,16.7,11.49,10.23,19.28,6.33,18.07,8.54,11.7,7.33,7.49,9.11,14.37,27.79,14.34,10.28,3.97,22.05,26.68,7.05,10.65,19.53,12.77,3.97,3.1
Copenhagen,7.26,11.36,21.05,14.62,7.29,0.0,12.14,13.24,14.2,26.28,12.92,15.2,14.42,18.43,14.16,9.97,8.85,7.12,30.17,20.13,17.2,10.84,25.52,30.31,11.87,17.87,25.4,10.95,9.95,8.54
Helsinki,19.35,20.93,25.55,22.57,16.7,12.14,0.0,25.36,25.93,31.21,19.07,25.88,25.18,28.24,23.92,21.91,20.97,9.9,42.3,22.67,23.06,18.22,37.54,42.32,23.18,24.82,27.13,22.61,20.51,19.29
Paris,6.29,10.61,22.59,14.27,11.49,13.24,25.36,0.0,4.05,25.82,16.29,10.09,8.04,12.37,10.62,4.01,4.63,18.53,17.0,24.17,18.54,14.19,12.41,17.19,5.91,17.34,28.83,5.95,8.52,8.56
Lyon,8.5,7.92,19.14,11.0,10.23,14.2,25.93,4.05,0.0,22.0,13.7,14.13,4.21,8.33,7.09,4.35,7.14,20.45,17.62,21.15,15.26,11.92,11.86,16.55,3.25,13.78,25.54,9.68,6.45,7.13
Athens,26.65,16.45,5.66,12.37,19.28,26.28,31.21,25.82,22.0,0.0,13.41,35.37,17.81,14.18,15.28,23.3,26.45,32.97,35.31,9.08,9.08,15.45,28.65,31.37,20.13,8.89,7.81,30.15,18.8,19.81
Budapest,14.66,5.79,8.15,4.09,6.33,12.92,19.07,16.29,13.7,13.41,0.0,24.14,10.23,10.73,7.44,12.62,15.01,19.57,30.93,8.14,4.36,2.38,24.57,28.79,10.61,5.75,13.25,18.78,7.78,8.09
Dublin,9.58,19.19,31.51,23.23,18.07,15.2,25.88,10.09,14.13,35.37,24.14,0.0,17.9,22.41,20.11,12.08,9.16,16.5,20.04,32.28,27.31,21.78,18.64,22.68,15.28,26.59,37.33,5.36,16.82,16.13
Milan,10.6,4.85,14.97,7.01,8.54,14.42,25.18,8.04,4.21,17.81,10.23,17.9,0.0,4.72,3.0,6.36,9.72,21.31,20.7,17.2,11.19,8.87,14.37,18.72,3.0,9.59,21.41,13.0,4.67,5.98
Rome,15.29,7.36,12.62,6.66,11.7,18.43,28.24,12.37,8.33,14.18,10.73,22.41,4.72,0.0,4.37,11.08,14.44,25.49,21.9,15.77,9.74,10.4,15.21,18.83,7.7,7.44,19.11,17.66,8.5,9.91
Venice,11.88,3.0,12.06,4.0,7.33,14.16,23.92,10.62,7.09,15.28,7.44,20.11,3.0,4.37,0.0,8.1,11.37,21.26,23.59,14.19,8.2,6.46,17.15,21.35,4.85,6.73,18.45,14.97,4.36,5.75
Luxembourg,4.34,7.21,19.51,11.18,7.49,9.97,21.91,4.01,4.35,23.3,12.62,12.08,6.36,11.08,8.1,0.0,3.37,16.1,20.76,20.67,15.34,10.41,15.63,20.41,3.41,14.52,25.53,6.87,4.9,4.65
Rotterdam,1.67,10.09,22.38,14.17,9.11,8.85,20.97,4.63,7.14,26.45,15.01,9.16,9.72,14.44,11.37,3.37,0.0,13.91,21.34,23.15,18.18,12.67,17.04,21.8,6.77,17.59,28.18,3.8,7.71,6.97
Oslo,12.27,18.48,27.54,21.66,14.37,7.12,9.9,18.53,20.45,32.97,19.57,16.5,21.31,25.49,21.26,16.1,13.91,0.0,34.66,26.02,23.93,17.69,30.91,35.65,18.58,24.82,31.18,14.25,16.99,15.58
Lisbon,22.98,25.33,34.52,27.52,27.79,30.17,42.3,17.0,17.62,35.31,30.93,20.04,20.7,21.9,23.59,20.76,21.34,34.66,0.0,37.5,31.39,29.41,6.71,5.29,20.87,29.27,40.99,20.43,24.07,24.69
Bucharest,22.78,13.57,4.2,10.19,14.34,20.13,22.67,24.17,21.15,9.08,8.14,32.28,17.2,15.77,14.19,20.67,23.15,26.02,37.5,0.0,6.11,10.5,30.87,34.59,18.32,8.33,5.28,26.92,15.77,16.21
Belgrade,18.12,8.14,4.2,4.28,10.28,17.2,23.06,18.54,15.26,9.08,4.36,27.31,11.19,9.74,8.2,15.34,18.18,23.93,31.39,6.11,0.0,6.39,24.77,28.55,12.63,2.5,10.3,21.97,10.5,11.26
Bratislava,12.28,4.08,10.4,4.36,3.97,10.84,18.22,14.19,11.92,15.45,2.38,21.78,8.87,10.4,6.46,10.41,12.67,17.69,29.41,10.5,6.39,0.0,23.21,27.6,8.72,7.15,15.63,16.43,5.68,5.8
Madrid,18.7,19.14,27.82,21.0,22.05,25.52,37.54,12.41,11.86,28.65,24.57,18.64,14.37,15.21,17.15,15.63,17.04,30.91,6.71,30.87,24.77,23.21,0.0,4.79,15.0,22.61,34.29,17.24,18.17,18.98
Seville,23.47,23.56,31.25,25.04,26.68,30.31,42.32,17.19,16.55,31.37,28.79,22.68,18.72,18.83,21.35,20.41,21.8,35.65,5.29,34.59,28.55,27.6,4.79,0.0,19.64,26.26,37.6,21.82,22.76,23.64
Zurich,7.6,4.83,16.68,8.36,7.05,11.87,23.18,5.91,3.25,20.13,10.61,15.28,3.0,7.7,4.85,3.41,6.77,18.58,20.87,18.32,12.63,8.72,15.0,19.64,0.0,11.49,22.93,10.2,3.2,4.01
