City,Amsterdam,Vienna,Salzburg,Brussels,Antwerp,Sofia,Zagreb,Prague,Copenhagen,Tallinn,Helsinki,Paris,Lyon,Lille,Montpellier,Athens,Budapest,Reykjavik,Dublin,Milan,Rome,Naples,Turin,Venice,Riga,Vilnius,Luxembourg,Skopje,Rotterdam,Eindhoven,Oslo,Warsaw,Lisbon,Bucharest,Cluj-Napoca,Belgrade,Bratislava,Ljubljana,Madrid,Valencia,Seville,Bilbao,Stockholm,Zurich,Sarajevo,Istanbul,London,Munich,Bremen,Nuremberg
Amsterdam,0.0,136.88,121.55,35.38,19.88,265.92,170.19,101.28,86.54,215.47,230.56,74.92,101.25,39.87,153.56,317.54,174.69,304.45,114.14,126.26,182.18,207.29,120.21,141.56,199.41,205.18,51.75,261.57,19.88,16.87,146.25,165.89,273.84,271.43,222.7,215.88,146.38,149.78,222.84,227.07,279.67,176.91,170.88,90.6,211.55,332.48,51.94,93.7,35.13,81.87
Vienna,136.88,0.0,38.13,136.89,140.72,131.14,50.62,40.36,125.32,201.91,220.84,157.86,130.89,147.62,175.07,189.39,38.13,431.18,249.56,95.76,117.46,123.49,116.06,68.7,158.3,139.03,113.06,132.5,140.72,130.59,208.34,86.55,339.54,135.11,87.3,82.16,11.29,35.66,266.18,247.01,318.79,239.28,186.69,92.73,87.62,195.62,185.73,56.45,120.19,58.39
Salzburg,121.55,38.13,0.0,112.55,120.22,146.81,48.73,51.84,135.41,230.59,249.39,126.43,94.4,122.61,136.89,196.0,69.04,424.42,228.68,57.76,87.73,101.25,77.98,35.73,190.36,174.35,85.9,140.15,120.22,111.25,220.27,121.56,301.81,161.65,117.3,96.99,48.62,28.71,228.07,209.2,280.76,202.06,208.62,57.53,90.05,218.46,165.23,28.36,114.79,40.61
Brussels,35.38,136.89,112.55,0.0,16.87,259.34,160.45,108.36,117.64,246.32,262.17,40.36,68.44,10.77,118.69,305.32,174.85,325.41,116.48,101.77,157.82,185.18,91.06,124.14,225.84,227.4,27.66,251.0,16.87,20.0,181.6,183.22,242.06,271.43,224.19,209.53,147.62,141.17,188.09,191.69,245.06,143.27,203.86,67.53,200.47,330.23,54.24,84.48,65.77,78.52
Antwerp,19.88,140.72,120.22,16.87,0.0,266.64,168.81,108.57,105.51,234.54,249.88,55.16,85.14,20.0,135.49,315.13,178.85,311.58,109.12,115.86,172.09,198.68,106.74,135.53,216.77,220.7,40.12,260.02,0.0,10.62,165.74,178.97,254.29,275.83,227.78,216.61,150.95,148.91,203.03,207.97,259.83,157.05,190.56,80.7,209.59,335.75,45.27,91.85,53.52,83.05
Sofia,265.92,131.14,146.81,259.34,266.64,0.0,99.4,171.08,250.82,287.07,304.46,269.18,228.11,269.3,248.81,67.5,97.13,562.03,375.44,178.43,150.36,127.43,201.91,143.7,236.5,203.73,232.43,30.39,266.64,257.3,328.2,170.29,411.31,50.08,67.5,50.08,123.92,118.17,331.56,298.5,372.43,322.63,291.65,198.81,64.44,77.67,311.84,175.05,251.39,184.28
Zagreb,170.19,50.62,48.73,160.45,168.81,99.4,0.0,87.39,174.16,250.02,268.9,170.04,131.09,170.2,161.18,147.46,48.73,472.18,276.86,83.5,79.37,76.97,107.34,47.72,204.21,180.78,133.26,91.42,168.81,159.96,258.1,130.61,327.92,121.46,84.47,51.01,51.94,20.61,250.28,224.2,298.37,232.54,237.13,99.61,41.57,173.8,213.66,77.02,161.24,88.63
Prague,101.28,40.36,51.84,108.36,108.57,171.08,87.39,0.0,86.83,180.32,198.96,136.89,121.87,119.21,173.68,229.7,75.42,391.0,215.34,101.77,139.47,152.37,116.04,87.39,143.14,132.52,89.24,172.8,108.57,98.0,171.18,81.6,331.16,170.88,121.87,122.47,47.34,68.44,262.78,249.88,317.99,229.32,156.78,84.0,126.89,232.78,152.2,47.34,80.8,36.95
Copenhagen,86.54,125.32,135.41,117.64,105.51,250.82,174.16,86.83,0.0,129.03,144.63,157.77,169.25,124.99,225.26,313.17,153.94,315.82,181.17,171.82,219.65,236.51,177.14,168.75,115.78,128.31,118.8,256.68,105.51,97.94,84.86,103.45,359.53,239.92,191.9,204.98,129.2,155.21,304.07,302.29,361.16,260.72,87.09,141.44,212.92,302.73,130.44,118.59,52.07,101.78
Tallinn,215.47,201.91,230.59,246.32,234.54,287.07,250.02,180.32,129.03,0.0,18.92,286.12,291.56,253.97,347.12,354.51,208.62,363.74,297.62,281.6,317.71,325.35,293.16,266.2,50.62,84.83,244.21,305.41,234.54,226.82,112.42,121.52,488.38,253.97,219.61,256.47,198.22,237.57,430.47,424.65,487.39,388.86,52.21,258.25,277.14,308.34,256.07,226.05,181.07,211.6
