City,Amsterdam,Vienna,Salzburg,Brussels,Antwerp,Sofia,Zagreb,Prague,Copenhagen,Tallinn,Helsinki,Paris,Lyon,Lille,Montpellier,Athens,Budapest,Reykjavik,Dublin,Milan,Rome,Naples,Turin,Venice,Riga,Vilnius,Luxembourg,Skopje,Rotterdam,Eindhoven,Oslo,Warsaw,Lisbon,Bucharest,Cluj-Napoca,Belgrade,Bratislava,Ljubljana,Madrid,Valencia,Seville,Bilbao,Stockholm,Zurich,Sarajevo,Istanbul,London,Munich,Bremen,Nuremberg
Amsterdam,0.0,18.23,16.19,4.71,2.65,35.41,22.66,13.49,11.52,28.69,30.7,9.98,13.48,5.31,20.45,42.29,23.26,40.54,15.2,16.81,24.26,27.61,16.01,18.85,26.56,27.32,6.89,34.83,2.65,2.25,19.48,22.09,36.47,36.15,29.66,28.75,19.49,19.95,29.68,30.24,37.24,23.56,22.76,12.07,28.17,44.28,6.92,12.48,4.68,10.9
Vienna,18.23,0.0,5.08,18.23,18.74,17.46,6.74,5.38,16.69,26.89,29.41,21.02,17.43,19.66,23.31,25.22,5.08,57.42,33.24,12.75,15.64,16.45,15.46,9.15,21.08,18.51,15.06,17.65,18.74,17.39,27.74,11.53,45.22,17.99,11.63,10.94,1.5,4.75,35.45,32.89,42.45,31.87,24.86,12.35,11.67,26.05,24.73,7.52,16.01,7.78
Salzburg,16.19,5.08,0.0,14.99,16.01,19.55,6.49,6.9,18.03,30.71,33.21,16.84,12.57,16.33,18.23,26.1,9.19,56.52,30.45,7.69,11.68,13.48,10.39,4.76,25.35,23.22,11.44,18.66,16.01,14.82,29.33,16.19,40.19,21.53,15.62,12.92,6.47,3.82,30.37,27.86,37.39,26.91,27.78,7.66,11.99,29.09,22.0,3.78,15.29,5.41
Brussels,4.71,18.23,14.99,0.0,2.25,34.54,21.37,14.43,15.67,32.8,34.91,5.38,9.11,1.43,15.81,40.66,23.29,43.34,15.51,13.55,21.02,24.66,12.13,16.53,30.08,30.28,3.68,33.43,2.25,2.66,24.18,24.4,32.24,36.15,29.86,27.9,19.66,18.8,25.05,25.53,32.64,19.08,27.15,8.99,26.7,43.98,7.22,11.25,8.76,10.46
Antwerp,2.65,18.74,16.01,2.25,0.0,35.51,22.48,14.46,14.05,31.23,33.28,7.35,11.34,2.66,18.04,41.97,23.82,41.49,14.53,15.43,22.92,26.46,14.22,18.05,28.87,29.39,5.34,34.63,0.0,1.41,22.07,23.83,33.86,36.73,30.33,28.85,20.1,19.83,27.04,27.7,34.6,20.91,25.38,10.75,27.91,44.71,6.03,12.23,7.13,11.06
Sofia,35.41,17.46,19.55,34.54,35.51,0.0,13.24,22.78,33.4,38.23,40.55,35.85,30.38,35.86,33.14,8.99,12.93,74.85,50.0,23.76,20.02,16.97,26.89,19.14,31.5,27.13,30.95,4.05,35.51,34.27,43.71,22.68,54.78,6.67,8.99,6.67,16.5,15.74,44.15,39.75,49.6,42.97,38.84,26.48,8.58,10.34,41.53,23.31,33.48,24.54
Zagreb,22.66,6.74,6.49,21.37,22.48,13.24,0.0,11.64,23.19,33.3,35.81,22.64,17.46,22.67,21.47,19.64,6.49,62.88,36.87,11.12,10.57,10.25,14.29,6.36,27.19,24.07,17.75,12.17,22.48,21.3,34.37,17.39,43.67,16.17,11.25,6.79,6.92,2.74,33.33,29.86,39.74,30.97,31.58,13.27,5.54,23.15,28.45,10.26,21.47,11.8
Prague,13.49,5.38,6.9,14.43,14.46,22.78,11.64,0.0,11.56,24.01,26.5,18.23,16.23,15.88,23.13,30.59,10.04,52.07,28.68,13.55,18.57,20.29,15.45,11.64,19.06,17.65,11.88,23.01,14.46,13.05,22.8,10.87,44.1,22.76,16.23,16.31,6.3,9.11,35.0,33.28,42.35,30.54,20.88,11.19,16.9,31.0,20.27,6.3,10.76,4.92
Copenhagen,11.52,16.69,18.03,15.67,14.05,33.4,23.19,11.56,0.0,17.18,19.26,21.01,22.54,16.65,30.0,41.71,20.5,42.06,24.13,22.88,29.25,31.5,23.59,22.47,15.42,17.09,15.82,34.18,14.05,13.04,11.3,13.78,47.88,31.95,25.56,27.3,17.21,20.67,40.49,40.26,48.1,34.72,11.6,18.84,28.36,40.32,17.37,15.79,6.93,13.55
Tallinn,28.69,26.89,30.71,32.8,31.23,38.23,33.3,24.01,17.18,0.0,2.52,38.1,38.83,33.82,46.23,47.21,27.78,48.44,39.64,37.5,42.31,43.33,39.04,35.45,6.74,11.3,32.52,40.67,31.23,30.21,14.97,16.18,65.04,33.82,29.25,34.16,26.4,31.64,57.33,56.55,64.91,51.79,6.95,34.39,36.91,41.06,34.1,30.1,24.11,28.18
