City,Amsterdam,Vienna,Salzburg,Brussels,Antwerp,Sofia,Zagreb,Prague,Copenhagen,Tallinn,Helsinki,Paris,Lyon,Lille,Montpellier,Athens,Budapest,Reykjavik,Dublin,Milan,Rome,Naples,Turin,Venice,Riga,Vilnius,Luxembourg,Skopje,Rotterdam,Eindhoven,Oslo,Warsaw,Lisbon,Bucharest,Cluj-Napoca,Belgrade,Bratislava,Ljubljana,Madrid,Valencia,Seville,Bilbao,Stockholm,Zurich,Sarajevo,Istanbul,London,Munich,Bremen,Nuremberg
Amsterdam,0.0,171.85,152.6,44.42,24.96,333.86,213.67,127.15,108.64,270.52,289.46,94.06,127.12,50.06,192.79,398.67,219.32,382.22,143.3,158.52,228.72,260.25,150.92,177.72,250.35,257.6,64.97,328.4,24.96,21.19,183.61,208.27,343.8,340.77,279.6,271.03,183.77,188.05,279.77,285.08,351.12,222.11,214.54,113.75,265.6,417.42,65.2,117.64,44.11,102.79
Vienna,171.85,0.0,47.88,171.86,176.67,164.65,63.56,50.67,157.34,253.5,277.26,198.19,164.33,185.33,219.79,237.77,47.88,541.34,313.32,120.22,147.47,155.04,145.71,86.25,198.74,174.55,141.95,166.35,176.67,163.95,261.56,108.66,426.29,169.63,109.61,103.15,14.18,44.77,334.19,310.11,400.24,300.41,234.38,116.41,110.0,245.59,233.18,70.87,150.9,73.3
Salzburg,152.6,47.88,0.0,141.3,150.93,184.31,61.19,65.09,170.01,289.51,313.1,158.72,118.52,153.94,171.86,246.07,86.67,532.85,287.1,72.52,110.15,127.12,97.91,44.85,238.99,218.89,107.85,175.95,150.93,139.68,276.54,152.62,378.91,202.95,147.26,121.77,61.04,36.05,286.34,262.64,352.48,253.68,261.92,72.23,113.05,274.27,207.44,35.61,144.12,50.98
Brussels,44.42,171.86,141.3,0.0,21.19,325.59,201.44,136.04,147.7,309.25,329.15,50.67,85.92,13.53,149.01,383.33,219.52,408.54,146.23,127.77,198.14,232.48,114.32,155.85,283.53,285.49,34.73,315.13,21.19,25.11,228.0,230.03,303.9,340.77,281.47,263.06,185.33,177.23,236.14,240.66,307.67,179.87,255.94,84.79,251.68,414.6,68.1,106.07,82.57,98.58
Antwerp,24.96,176.67,150.93,21.19,0.0,334.76,211.93,136.31,132.47,294.46,313.72,69.25,106.89,25.11,170.1,395.64,224.54,391.18,136.99,145.46,216.05,249.44,134.01,170.16,272.15,277.08,50.37,326.45,0.0,13.33,208.09,224.69,319.26,346.29,285.97,271.95,189.52,186.96,254.9,261.1,326.21,197.17,239.24,101.32,263.13,421.53,56.84,115.32,67.2,104.26
Sofia,333.86,164.65,184.31,325.59,334.76,0.0,124.8,214.78,314.9,360.4,382.24,337.95,286.39,338.1,312.38,84.74,121.94,705.62,471.35,224.01,188.78,159.99,253.5,180.42,296.92,255.78,291.82,38.16,334.76,323.03,412.05,213.8,516.38,62.88,84.74,62.88,155.58,148.36,416.26,374.77,467.58,405.05,366.16,249.6,80.91,97.51,391.51,219.77,315.62,231.36
Zagreb,213.67,63.56,61.19,201.44,211.93,124.8,0.0,109.72,218.66,313.89,337.6,213.48,164.58,213.69,202.36,185.13,61.19,592.81,347.59,104.83,99.65,96.64,134.76,59.92,256.38,226.96,167.31,114.77,211.93,200.82,324.04,163.98,411.69,152.49,106.05,64.04,65.21,25.87,314.22,281.48,374.6,291.95,297.72,125.06,52.19,218.21,268.25,96.69,202.43,111.27
Prague,127.15,50.67,65.09,136.04,136.31,214.78,109.72,0.0,109.01,226.39,249.79,171.86,153.0,149.66,218.05,288.39,94.69,490.9,270.35,127.77,175.11,191.29,145.68,109.72,179.71,166.37,112.04,216.94,136.31,123.04,214.92,102.44,415.76,214.54,153.0,153.75,59.44,85.92,329.92,313.72,399.23,287.9,196.83,105.46,159.3,292.24,191.08,59.44,101.44,46.39
Copenhagen,108.64,157.34,170.01,147.7,132.47,314.9,218.66,109.01,0.0,161.99,181.58,198.08,212.48,156.92,282.81,393.18,193.26,396.51,227.45,215.71,275.77,296.94,222.39,211.86,145.36,161.09,149.15,322.26,132.47,122.97,106.54,129.87,451.38,301.21,240.93,257.34,162.2,194.87,381.75,379.52,453.43,327.33,109.34,177.57,267.32,380.07,163.77,148.88,65.38,127.78
Tallinn,270.52,253.5,289.51,309.25,294.46,360.4,313.89,226.39,161.99,0.0,23.76,359.22,366.04,318.85,435.8,445.08,261.92,456.66,373.66,353.54,398.88,408.47,368.06,334.21,63.56,106.51,306.6,383.44,294.46,284.76,141.14,152.57,613.14,318.85,275.71,322.0,248.86,298.26,540.44,533.14,611.91,488.2,65.54,324.22,347.95,387.12,321.49,283.8,227.33,265.66
