City,Amsterdam,Vienna,Salzburg,Brussels,Antwerp,Sofia,Zagreb,Prague,Copenhagen,Tallinn,Helsinki,Paris,Lyon,Lille,Montpellier,Athens,Budapest,Reykjavik,Dublin,Milan,Rome,Naples,Turin,Venice,Riga,Vilnius,Luxembourg,Skopje,Rotterdam,Eindhoven,Oslo,Warsaw,Lisbon,Bucharest,Cluj-Napoca,Belgrade,Bratislava,Ljubljana,Madrid,Valencia,Seville,Bilbao,Stockholm,Zurich,Sarajevo,Istanbul,London,Munich,Bremen,Nuremberg
Amsterdam,0.0,2.0,1.77,0.52,0.29,3.88,2.48,1.48,1.26,3.14,3.36,1.09,1.48,0.58,2.24,4.63,2.55,4.44,1.67,1.84,2.66,3.03,1.75,2.07,2.91,2.99,0.76,3.82,0.29,0.25,2.13,2.42,4.0,3.96,3.25,3.15,2.14,2.19,3.25,3.31,4.08,2.58,2.49,1.32,3.09,4.85,0.76,1.37,0.51,1.19
Vienna,2.0,0.0,0.56,2.0,2.05,1.91,0.74,0.59,1.83,2.95,3.22,2.3,1.91,2.15,2.55,2.76,0.56,6.29,3.64,1.4,1.71,1.8,1.69,1.0,2.31,2.03,1.65,1.93,2.05,1.91,3.04,1.26,4.96,1.97,1.27,1.2,0.16,0.52,3.88,3.6,4.65,3.49,2.72,1.35,1.28,2.85,2.71,0.82,1.75,0.85
Salzburg,1.77,0.56,0.0,1.64,1.75,2.14,0.71,0.76,1.98,3.37,3.64,1.85,1.38,1.79,2.0,2.86,1.01,6.19,3.34,0.84,1.28,1.48,1.14,0.52,2.78,2.54,1.25,2.05,1.75,1.62,3.21,1.77,4.4,2.36,1.71,1.42,0.71,0.42,3.33,3.05,4.1,2.95,3.04,0.84,1.31,3.19,2.41,0.41,1.68,0.59
Brussels,0.52,2.0,1.64,0.0,0.25,3.78,2.34,1.58,1.72,3.59,3.83,0.59,1.0,0.16,1.73,4.46,2.55,4.75,1.7,1.49,2.3,2.7,1.33,1.81,3.3,3.32,0.4,3.66,0.25,0.29,2.65,2.67,3.53,3.96,3.27,3.06,2.15,2.06,2.75,2.8,3.58,2.09,2.98,0.99,2.93,4.82,0.79,1.23,0.96,1.15
Antwerp,0.29,2.05,1.75,0.25,0.0,3.89,2.46,1.58,1.54,3.42,3.65,0.81,1.24,0.29,1.98,4.6,2.61,4.55,1.59,1.69,2.51,2.9,1.56,1.98,3.16,3.22,0.59,3.79,0.0,0.15,2.42,2.61,3.71,4.03,3.32,3.16,2.2,2.17,2.96,3.04,3.79,2.29,2.78,1.18,3.06,4.9,0.66,1.34,0.78,1.21
Sofia,3.88,1.91,2.14,3.78,3.89,0.0,1.45,2.5,3.66,4.19,4.44,3.93,3.33,3.93,3.63,0.99,1.42,8.2,5.48,2.6,2.19,1.86,2.95,2.1,3.45,2.97,3.39,0.44,3.89,3.76,4.79,2.49,6.0,0.73,0.99,0.73,1.81,1.72,4.84,4.36,5.44,4.71,4.26,2.9,0.94,1.13,4.55,2.55,3.67,2.69
Zagreb,2.48,0.74,0.71,2.34,2.46,1.45,0.0,1.28,2.54,3.65,3.92,2.48,1.91,2.48,2.35,2.15,0.71,6.89,4.04,1.22,1.16,1.12,1.57,0.7,2.98,2.64,1.94,1.33,2.46,2.33,3.77,1.91,4.79,1.77,1.23,0.74,0.76,0.3,3.65,3.27,4.35,3.39,3.46,1.45,0.61,2.54,3.12,1.12,2.35,1.29
Prague,1.48,0.59,0.76,1.58,1.58,2.5,1.28,0.0,1.27,2.63,2.9,2.0,1.78,1.74,2.53,3.35,1.1,5.71,3.14,1.49,2.04,2.22,1.69,1.28,2.09,1.93,1.3,2.52,1.58,1.43,2.5,1.19,4.83,2.49,1.78,1.79,0.69,1.0,3.84,3.65,4.64,3.35,2.29,1.23,1.85,3.4,2.22,0.69,1.18,0.54
Copenhagen,1.26,1.83,1.98,1.72,1.54,3.66,2.54,1.27,0.0,1.88,2.11,2.3,2.47,1.82,3.29,4.57,2.25,4.61,2.64,2.51,3.21,3.45,2.59,2.46,1.69,1.87,1.73,3.75,1.54,1.43,1.24,1.51,5.25,3.5,2.8,2.99,1.89,2.27,4.44,4.41,5.27,3.81,1.27,2.06,3.11,4.42,1.9,1.73,0.76,1.49
Tallinn,3.14,2.95,3.37,3.59,3.42,4.19,3.65,2.63,1.88,0.0,0.28,4.18,4.26,3.71,5.07,5.17,3.04,5.31,4.34,4.11,4.64,4.75,4.28,3.89,0.74,1.24,3.56,4.46,3.42,3.31,1.64,1.77,7.13,3.71,3.21,3.74,2.89,3.47,6.28,6.2,7.11,5.68,0.76,3.77,4.04,4.5,3.74,3.3,2.64,3.09
Helsinki,3.36,3.22,3.64,3.83,3.65,4.44,3.92,2.9,2.11,0.28,0.0,4.41,4.51,3.93,5.32,5.43,3.32,5.29,4.5,4.38,4.91,5.02,4.54,4.16,0.99,1.48,3.81,4.72,3.65,3.54,1.72,2.04,7.36,3.94,3.46,4.01,3.17,3.74,6.53,6.46,7.36,5.91,0.91,4.03,4.32,4.72,3.93,3.57,2.87,3.35
Paris,1.09,2.3,1.85,0.59,0.81,3.93,2.48,2.0,2.3,4.18,4.41,0.0,0.7,0.52,1.24,4.49,2.83,5.0,1.75,1.4,2.15,2.58,1.12,1.85,3.85,3.84,0.7,3.74,0.81,0.88,3.22,3.15,2.96,4.2,3.55,3.22,2.47,2.24,2.16,2.24,2.99,1.5,3.56,1.03,3.02,5.01,1.03,1.48,1.55,1.49
Lyon,1.48,1.91,1.38,1.0,1.24,3.33,1.91,1.78,2.47,4.26,4.51,0.7,0.0,1.04,0.82,3.83,2.38,5.67,2.46,0.73,1.45,1.88,0.42,1.23,3.82,3.71,0.76,3.11,1.24,1.23,3.56,2.97,3.06,3.68,3.07,2.65,2.07,1.71,2.06,1.95,2.88,1.59,3.73,0.57,2.4,4.44,1.68,1.12,1.79,1.24
Lille,0.58,2.15,1.79,0.16,0.29,3.93,2.48,1.74,1.82,3.71,3.93,0.52,1.04,0.0,1.72,4.59,2.71,4.66,1.56,1.58,2.4,2.8,1.4,1.94,3.43,3.46,0.54,3.8,0.29,0.4,2.71,2.83,3.42,4.12,3.43,3.2,2.31,2.21,2.67,2.76,3.5,2.0,3.07,1.1,3.06,4.97,0.68,1.38,1.06,1.3
Montpellier,2.24,2.55,2.0,1.73,1.98,3.63,2.35,2.53,3.29,5.07,5.32,1.24,0.82,1.72,0.0,3.93,2.95,6.17,2.87,1.17,1.47,1.89,0.86,1.67,4.61,4.47,1.56,3.32,1.98,2.0,4.36,3.71,2.44,4.1,3.58,3.04,2.71,2.23,1.33,1.13,2.11,1.08,4.55,1.31,2.7,4.76,2.27,1.85,2.6,2.01
Athens,4.63,2.76,2.86,4.46,4.6,0.99,2.15,3.35,4.57,5.17,5.43,4.49,3.83,4.59,3.93,0.0,2.33,9.04,6.15,3.1,2.47,2.04,3.41,2.66,4.44,3.95,4.05,0.83,4.6,4.48,5.73,3.47,6.14,1.58,1.97,1.58,2.69,2.45,4.98,4.43,5.46,5.0,5.23,3.5,1.55,1.36,5.24,3.27,4.49,3.45
Budapest,2.55,0.56,1.01,2.55,2.61,1.42,0.71,1.1,2.25,3.04,3.32,2.83,2.38,2.71,2.95,2.33,0.0,6.79,4.2,1.78,1.87,1.82,2.11,1.29,2.34,1.96,2.2,1.52,2.61,2.46,3.4,1.27,5.38,1.42,0.72,0.76,0.41,0.72,4.27,3.93,5.01,3.94,2.96,1.85,1.0,2.3,3.27,1.35,2.28,1.41
