City,Amsterdam,Vienna,Salzburg,Brussels,Antwerp,Sofia,Zagreb,Prague,Copenhagen,Tallinn,Helsinki,Paris,Lyon,Lille,Montpellier,Athens,Budapest,Reykjavik,Dublin,Milan,Rome,Naples,Turin,Venice,Riga,Vilnius,Luxembourg,Skopje,Rotterdam,Eindhoven,Oslo,Warsaw,Lisbon,Bucharest,Cluj-Napoca,Belgrade,Bratislava,Ljubljana,Madrid,Valencia,Seville,Bilbao,Stockholm,Zurich,Sarajevo,Istanbul,London,Munich,Bremen,Nuremberg
Amsterdam,0.0,152.37,135.3,39.38,22.13,296.01,189.45,112.74,96.33,239.85,256.64,83.39,112.7,44.38,170.93,353.47,194.45,338.89,127.05,140.54,202.79,230.74,133.81,157.57,221.97,228.4,57.6,291.17,22.13,18.78,162.8,184.66,304.83,302.14,247.9,240.3,162.94,166.73,248.05,252.76,311.31,196.93,190.21,100.85,235.49,370.09,57.81,104.31,39.11,91.14
Vienna,152.37,0.0,42.45,152.37,156.64,145.98,56.35,44.93,139.5,224.76,245.82,175.72,145.7,164.32,194.87,210.81,42.45,479.97,277.8,106.59,130.75,137.47,129.19,76.47,176.21,154.76,125.85,147.49,156.64,145.36,231.91,96.34,377.96,150.4,97.18,91.46,12.57,39.69,296.3,274.95,354.86,266.35,207.81,103.22,97.53,217.75,206.75,62.83,133.79,64.99
Salzburg,135.3,42.45,0.0,125.28,133.82,163.41,54.25,57.71,150.73,256.68,277.6,140.73,105.08,136.49,152.37,218.17,76.85,472.44,254.55,64.3,97.66,112.7,86.81,39.77,211.89,194.07,95.62,156.01,133.82,123.84,245.19,135.31,335.96,179.94,130.57,107.96,54.12,31.96,253.87,232.87,312.52,224.92,232.23,64.04,100.24,243.17,183.92,31.57,127.78,45.2
Brussels,39.38,152.37,125.28,0.0,18.78,288.68,178.6,120.62,130.95,274.19,291.84,44.93,76.18,11.99,132.12,339.87,194.63,362.23,129.65,113.29,175.68,206.13,101.36,138.18,251.39,253.13,30.79,279.4,18.78,22.26,202.15,203.95,269.45,302.14,249.56,233.24,164.32,157.14,209.37,213.38,272.79,159.47,226.92,75.17,223.15,367.59,60.38,94.04,73.21,87.4
Antwerp,22.13,156.64,133.82,18.78,0.0,296.81,187.9,120.85,117.45,261.08,278.15,61.4,94.77,22.26,150.81,350.79,199.09,346.83,121.46,128.97,191.56,221.16,118.82,150.87,241.3,245.67,44.66,289.44,0.0,11.82,184.5,199.21,283.06,307.03,253.55,241.12,168.03,165.76,226.0,231.5,289.23,174.81,212.12,89.83,233.3,373.74,50.4,102.25,59.58,92.44
Sofia,296.01,145.98,163.41,288.68,296.81,0.0,110.65,190.43,279.2,319.54,338.9,299.64,253.92,299.77,276.96,75.14,108.12,625.62,417.91,198.61,167.37,141.85,224.76,159.96,263.26,226.78,258.73,33.83,296.81,286.41,365.34,189.56,457.84,55.75,75.14,55.75,137.94,131.54,369.07,332.28,414.57,359.13,324.65,221.3,71.74,86.46,347.12,194.85,279.83,205.13
Zagreb,189.45,56.35,54.25,178.6,187.9,110.65,0.0,97.28,193.87,278.31,299.33,189.28,145.92,189.46,179.42,164.14,54.25,525.61,308.18,92.95,88.35,85.68,119.48,53.12,227.31,201.23,148.34,101.76,187.9,178.05,287.3,145.39,365.02,135.2,94.02,56.78,57.82,22.94,278.59,249.57,332.13,258.85,263.96,110.88,46.27,193.47,237.84,85.73,179.48,98.66
Prague,112.74,44.93,57.71,120.62,120.85,190.43,97.28,0.0,96.65,200.72,221.47,152.37,135.66,132.7,193.33,255.69,83.96,435.24,239.7,113.29,155.25,169.61,129.17,97.28,159.34,147.51,99.33,192.35,120.85,109.09,190.55,90.83,368.62,190.21,135.66,136.32,52.7,76.18,292.51,278.15,353.97,255.26,174.52,93.51,141.24,259.11,169.42,52.7,89.94,41.13
Copenhagen,96.33,139.5,150.73,130.95,117.45,279.2,193.87,96.65,0.0,143.63,160.99,175.62,188.39,139.13,250.74,348.6,171.35,351.55,201.67,191.26,244.5,263.27,197.18,187.84,128.88,142.83,132.24,285.73,117.45,109.02,94.46,115.15,400.21,267.06,213.61,228.17,143.81,172.77,338.47,336.49,402.03,290.22,96.95,157.44,237.01,336.98,145.2,132.0,57.97,113.29
Tallinn,239.85,224.76,256.68,274.19,261.08,319.54,278.31,200.72,143.63,0.0,21.06,318.49,324.54,282.7,386.39,394.62,232.23,404.89,331.3,313.46,353.66,362.16,326.33,296.32,56.35,94.43,271.84,339.96,261.08,252.48,125.14,135.27,543.63,282.7,244.45,285.49,220.65,264.44,479.17,472.7,542.53,432.86,58.11,287.47,308.5,343.23,285.04,251.62,201.56,235.54
